timestamp_current_cycle;timestamp_last_cycle;freq;last_wait_time;time_consumption_current;nominal_duration;waiting_time_current;percentage_load_current_slice;percentage_waiting_current_slice;cycle_counter
-1187663980;-1187684067;50;18880;1207;20000;18793;6.035;93.965;8
-1187644063;-1187663980;50;18793;1124;20000;18876;5.62;94.38;9
-1187624078;-1187644063;50;18876;1109;20000;18891;5.545;94.455;10
-1187604055;-1187624078;50;18891;1132;20000;18868;5.66;94.34;11
-1187583675;-1187604055;50;18868;1512;20000;18488;7.56;92.44;12
-1187564011;-1187583675;50;18488;1176;20000;18824;5.88;94.12;13
-1187543987;-1187564011;50;18824;1200;20000;18800;6;94;14
-1187524208;-1187543987;50;18800;979;20000;19021;4.895;95.105;15
-1187504123;-1187524208;50;19021;1064;20000;18936;5.32;94.68;16
-1187484183;-1187504123;50;18936;1004;20000;18996;5.02;94.98;17
-1187464454;-1187484183;50;18996;733;20000;19267;3.665;96.335;18
-1187444473;-1187464454;50;19267;714;20000;19286;3.57;96.43;19
-1187424426;-1187444473;50;19286;761;20000;19239;3.805;96.195;20
-1187404280;-1187424426;50;19239;907;20000;19093;4.535;95.465;21
-1187384311;-1187404280;50;19093;876;20000;19124;4.38;95.62;22
-1187364239;-1187384311;50;19124;948;20000;19052;4.74;95.26;23
-1187344348;-1187364239;50;19052;839;20000;19161;4.195;95.805;24
-1187324259;-1187344348;50;19161;928;20000;19072;4.64;95.36;25
-1187304464;-1187324259;50;19072;723;20000;19277;3.615;96.385;26
-1187284389;-1187304464;50;19277;798;20000;19202;3.99;96.01;27
-1187264036;-1187284389;50;19202;1151;20000;18849;5.755;94.245;28
-1187243927;-1187264036;50;18849;1260;20000;18740;6.3;93.7;29
-1187223913;-1187243927;50;18740;1274;20000;18726;6.37;93.63;30
-1187204067;-1187223913;50;18726;1120;20000;18880;5.6;94.4;31
-1187183790;-1187204067;50;18880;1397;20000;18603;6.985;93.015;32
-1187163996;-1187183790;50;18603;1191;20000;18809;5.955;94.045;33
-1187144479;-1187163996;50;18809;708;20000;19292;3.54;96.46;34
-1187124265;-1187144479;50;19292;922;20000;19078;4.61;95.39;35
-1187104428;-1187124265;50;19078;759;20000;19241;3.795;96.205;36
-1187084444;-1187104428;50;19241;743;20000;19257;3.715;96.285;37
-1187064352;-1187084444;50;19257;835;20000;19165;4.175;95.825;38
-1187044438;-1187064352;50;19165;749;20000;19251;3.745;96.255;39
-1187024445;-1187044438;50;19251;742;20000;19258;3.71;96.29;40
-1187004459;-1187024445;50;19258;728;20000;19272;3.64;96.36;41
-1186984032;-1187004459;50;19272;1155;20000;18845;5.775;94.225;42
-1186964226;-1186984032;50;18845;961;20000;19039;4.805;95.195;43
-1186944480;-1186964226;50;19039;707;20000;19293;3.535;96.465;44
-1186924164;-1186944480;50;19293;1023;20000;18977;5.115;94.885;45
-1186904289;-1186924164;50;18977;898;20000;19102;4.49;95.51;46
-1186884460;-1186904289;50;19102;727;20000;19273;3.635;96.365;47
-1186864437;-1186884460;50;19273;750;20000;19250;3.75;96.25;48
-1186844311;-1186864437;50;19250;876;20000;19124;4.38;95.62;49
-1186824458;-1186844311;50;19124;729;20000;19271;3.645;96.355;0
-1186804345;-1186824458;50;19271;842;20000;19158;4.21;95.79;1
-1186784300;-1186804345;50;19158;887;20000;19113;4.435;95.565;2
-1186764459;-1186784300;50;19113;728;20000;19272;3.64;96.36;3
-1186744461;-1186764459;50;19272;726;20000;19274;3.63;96.37;4
-1186724429;-1186744461;50;19274;758;20000;19242;3.79;96.21;5
-1186704476;-1186724429;50;19242;711;20000;19289;3.555;96.445;6
-1186684292;-1186704476;50;19289;895;20000;19105;4.475;95.525;7
-1186664447;-1186684292;50;19105;740;20000;19260;3.7;96.3;8
-1186644298;-1186664447;50;19260;889;20000;19111;4.445;95.555;9
-1186624258;-1186644298;50;19111;929;20000;19071;4.645;95.355;10
-1186604467;-1186624258;50;19071;720;20000;19280;3.6;96.4;11
-1186584203;-1186604467;50;19280;984;20000;19016;4.92;95.08;12
-1186564463;-1186584203;50;19016;724;20000;19276;3.62;96.38;13
-1186544412;-1186564463;50;19276;775;20000;19225;3.875;96.125;14
-1186524298;-1186544412;50;19225;889;20000;19111;4.445;95.555;15
-1186504304;-1186524298;50;19111;883;20000;19117;4.415;95.585;16
-1186484413;-1186504304;50;19117;774;20000;19226;3.87;96.13;17
-1186463214;-1186484413;50;19226;1973;20000;18027;9.865;90.135;18
-1186444327;-1186463214;50;18027;860;20000;19140;4.3;95.7;19
-1186424456;-1186444327;50;19140;731;20000;19269;3.655;96.345;20
-1186404480;-1186424456;50;19269;707;20000;19293;3.535;96.465;21
-1186384122;-1186404480;50;19293;1065;20000;18935;5.325;94.675;22
-1186363376;-1186384122;50;18935;1811;20000;18189;9.055;90.945;23
-1186343864;-1186363376;50;18189;1323;20000;18677;6.615;93.385;24
-1186323933;-1186343864;50;18677;1254;20000;18746;6.27;93.73;25
-1186303831;-1186323933;50;18746;1356;20000;18644;6.78;93.22;26
-1186284415;-1186303831;50;18644;772;20000;19228;3.86;96.14;27
-1186264363;-1186284415;50;19228;824;20000;19176;4.12;95.88;28
-1186244289;-1186264363;50;19176;898;20000;19102;4.49;95.51;29
-1186224273;-1186244289;50;19102;914;20000;19086;4.57;95.43;30
-1186204226;-1186224273;50;19086;961;20000;19039;4.805;95.195;31
-1186183624;-1186204226;50;19039;1563;20000;18437;7.815;92.185;32
-1186163926;-1186183624;50;18437;1261;20000;18739;6.305;93.695;33
-1186143772;-1186163926;50;18739;1415;20000;18585;7.075;92.925;34
-1186123879;-1186143772;50;18585;1308;20000;18692;6.54;93.46;35
-1186103842;-1186123879;50;18692;1345;20000;18655;6.725;93.275;36
-1186084037;-1186103842;50;18655;1150;20000;18850;5.75;94.25;37
-1186064470;-1186084037;50;18850;717;20000;19283;3.585;96.415;38
-1186044081;-1186064470;50;19283;1106;20000;18894;5.53;94.47;39
-1186023647;-1186044081;50;18894;1540;20000;18460;7.7;92.3;40
-1186004419;-1186023647;50;18460;768;20000;19232;3.84;96.16;41
-1185984465;-1186004419;50;19232;722;20000;19278;3.61;96.39;42
-1185964290;-1185984465;50;19278;897;20000;19103;4.485;95.515;43
-1185944370;-1185964290;50;19103;817;20000;19183;4.085;95.915;44
-1185924364;-1185944370;50;19183;823;20000;19177;4.115;95.885;45
-1185904160;-1185924364;50;19177;1027;20000;18973;5.135;94.865;46
-1185884240;-1185904160;50;18973;947;20000;19053;4.735;95.265;47
